City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Pevek,RU,2022-01-29 12:13:43,69.7008,170.3133,-14.1,100,90,1.25
132,Sabang,ID,2022-01-29 12:13:44,5.8933,95.3214,82.78,73,7,11.21
133,Pualas,PH,2022-01-29 12:13:44,8.0172,123.8481,75.81,96,84,2.33
134,Araouane,ML,2022-01-29 12:13:45,18.9048,-3.5265,82.26,10,90,11.59
135,Bathsheba,BB,2022-01-29 12:13:45,13.2167,-59.5167,79.41,86,40,14.97
136,Saskylakh,RU,2022-01-29 12:13:45,71.9167,114.0833,-16.51,98,100,3.2
137,Benghazi,LY,2022-01-29 12:13:46,32.1167,20.0667,59.11,62,72,27.85
138,Grafton,US,2022-01-29 12:13:47,42.207,-71.6856,24.48,82,100,1.01
139,Los Alamos,US,2022-01-29 12:13:47,35.8881,-106.307,24.58,54,0,6.91
140,Ulaanbaatar,MN,2022-01-29 12:11:34,47.9077,106.8832,-9.27,77,0,4.47
141,Udachnyy,RU,2022-01-29 12:13:47,66.4167,112.4,-23.39,100,39,3.24
142,Bilibino,RU,2022-01-29 12:13:48,68.0546,166.4372,-10.59,86,99,3.74
143,Acapulco,MX,2022-01-29 12:09:50,16.8634,-99.8901,76.82,73,75,3.44
144,Naze,JP,2022-01-29 12:14:48,28.3667,129.4833,56.16,79,100,12.86
145,San Quintin,MX,2022-01-29 12:14:49,30.4833,-115.95,56.19,46,15,1.23
146,Kilindoni,TZ,2022-01-29 12:14:49,-7.9139,39.6668,78.84,82,100,7.45
147,Chuy,UY,2022-01-29 12:14:50,-33.6971,-53.4616,70.16,68,16,2.35
148,Husavik,IS,2022-01-29 12:14:50,66.0449,-17.3389,21.11,82,94,9.75
149,Urumqi,CN,2022-01-29 12:14:50,43.801,87.6005,-3.05,78,20,2.24
150,Axim,GH,2022-01-29 12:14:51,4.8699,-2.2405,89.44,49,46,5.82
151,Labuhan,ID,2022-01-29 12:14:51,-6.8844,112.2051,80.22,83,100,8.12
152,Punta Alta,AR,2022-01-29 12:13:52,-38.8759,-62.0736,77.65,43,21,19.55
153,Muriwai Beach,NZ,2022-01-29 12:14:52,-36.8167,174.45,66.34,84,11,3.27
154,Polovinnoye,RU,2022-01-29 12:14:52,54.7914,65.9864,6.39,92,100,4.09
155,Dharchula,IN,2022-01-29 12:14:52,29.85,80.5333,51.75,55,0,0.83
156,Sitka,US,2022-01-29 12:13:56,57.0531,-135.33,42.69,75,100,20.71
157,Souillac,MU,2022-01-29 12:14:53,-20.5167,57.5167,87.37,74,75,10.36
158,Hilo,US,2022-01-29 12:14:53,19.7297,-155.09,67.73,75,75,8.05
159,Aklavik,CA,2022-01-29 12:14:54,68.2191,-135.0107,-15.77,84,11,7.7
160,Lavrentiya,RU,2022-01-29 12:14:54,65.5833,-171.0,-4.54,85,3,4.7
161,Copiapo,CL,2022-01-29 12:14:55,-27.3667,-70.3333,62.92,78,9,2.64
162,Palauig,PH,2022-01-29 12:14:55,15.435,119.9045,79.93,80,16,4.85
163,Mamlyutka,KZ,2022-01-29 12:14:55,54.9375,68.5394,3.22,88,99,8.32
164,Tautira,PF,2022-01-29 12:14:56,-17.7333,-149.15,77.02,78,71,15.01
165,Te Anau,NZ,2022-01-29 12:14:56,-45.4167,167.7167,55.67,84,100,4.65
166,Bichena,ET,2022-01-29 12:14:57,10.45,38.2,72.64,21,32,8.46
167,East London,ZA,2022-01-29 12:14:57,-33.0153,27.9116,74.34,68,40,12.66
168,Bengkulu,ID,2022-01-29 12:14:57,-3.8004,102.2655,79.5,82,100,1.57
169,Sorland,NO,2022-01-29 12:14:58,67.667,12.6934,37.26,95,100,25.75
170,Hasaki,JP,2022-01-29 12:14:58,35.7333,140.8333,39.6,87,100,12.41
