City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
137,Pringsewu,ID,77.7,overcast clouds,-5.3582,104.9744,Urban Style by Front One
140,Coahuayana,MX,78.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
144,Bac Lieu,VN,80.01,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
147,East London,ZA,73.87,light rain,-33.0153,27.9116,Tu Casa
152,Miri,MY,78.96,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
154,Bata,GQ,79.45,overcast clouds,1.8639,9.7658,Hotel Elik Melen
155,Port Moresby,PG,85.17,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
160,Cidreira,BR,75.49,clear sky,-30.1811,-50.2056,Hotel Castelo
164,Mar Del Plata,AR,71.13,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
166,Tocopilla,CL,70.41,clear sky,-22.092,-70.1979,Hotel Galvarino
170,Antsohihy,MG,73.71,overcast clouds,-14.8796,47.9875,Hotel de Ville
172,Marigot,MF,78.04,clear sky,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
179,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
182,Presidencia Roque Saenz Pena,AR,89.6,overcast clouds,-26.7852,-60.4388,Hotel Gualok
185,Dingle,PH,80.74,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
187,Mahibadhoo,MV,81.45,clear sky,3.7833,72.9667,Omadhoo Inn
190,Cabo San Lucas,MX,72.7,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
195,Lethem,GY,80.85,few clouds,3.3803,-59.7968,Savannah Inn
197,Meulaboh,ID,77.05,broken clouds,4.1363,96.1285,Kost Pria
198,Bengkulu,ID,78.35,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
199,Butterworth,MY,81.0,few clouds,5.3991,100.3638,Cititel Penang
204,Cockburn Town,TC,73.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
208,Puerto Carreno,CO,77.85,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
210,Inhuma,BR,74.3,few clouds,-6.6683,-41.7078,Edifício Bezerra
214,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
220,Chuy,UY,71.13,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
222,Martapura,ID,75.29,heavy intensity rain,-3.4167,114.85,Montana Hotel Syariah
228,Curup,ID,71.76,broken clouds,-3.4667,102.5333,Ayi The Costel
230,Samarai,PG,84.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
232,Itoman,JP,70.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
237,Tanete,ID,81.12,light rain,-3.9443,119.7848,Wisma Tri Multi
239,Payakumbuh,ID,72.97,broken clouds,-0.2202,100.6308,Dalimo Homestay
240,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
246,Caravelas,BR,76.37,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
249,Concepcion Del Uruguay,AR,83.98,overcast clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
250,Sao Miguel,BR,81.37,few clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
254,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
258,Ilebo,CD,72.0,light rain,-4.3167,20.5833,Hôtel BUMAK
260,Karratha,AU,86.38,few clouds,-20.7377,116.8463,ibis Styles Karratha
261,Geraldton,AU,91.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
262,Monrovia,LR,78.73,scattered clouds,6.3005,-10.7969,Sunset Inn
264,Urucui,BR,77.29,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
265,Lahat,ID,76.44,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
266,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
269,Sumbe,AO,74.44,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
271,Sao Joao Da Barra,BR,74.71,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
273,Nieuw Amsterdam,SR,79.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
283,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
286,Sur,OM,71.04,clear sky,22.5667,59.5289,Sur Plaza Hotel
290,Touba,CI,70.0,few clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
296,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
297,Ahipara,NZ,76.35,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
300,Atar,MR,71.51,clear sky,20.5169,-13.0499,Oumou Elghoura
305,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
308,Maxixe,MZ,74.23,scattered clouds,-23.8597,35.3472,Oceano
317,Matamoros,MX,82.51,broken clouds,25.5333,-103.25,Quinta Belem
318,San Jose De Guanipa,VE,81.14,broken clouds,8.8872,-64.1651,HOTEL 283 SUITES
319,Garissa,KE,77.65,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
326,Yeppoon,AU,85.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
327,Okato,NZ,71.69,overcast clouds,-39.2,173.8833,Goodin Country Garden
343,Matara,LK,71.22,few clouds,5.9485,80.5353,Amaloh Boutique Resort
344,Waingapu,ID,84.81,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
345,Mazamari,PE,70.72,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
351,Majene,ID,81.81,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
357,Ibotirama,BR,74.43,few clouds,-12.1853,-43.2206,Serra do Rio Hotel
359,Miandrivazo,MG,77.88,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
362,Grand Gaube,MU,78.39,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
364,Sugod,PH,78.51,overcast clouds,12.987,124.0805,Musngi Garage
367,Dicabisagan,PH,76.46,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
