City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
307,Westport,41.1415,-73.3579,mist,41.31,94,100,1.01,US
308,Maxixe,-23.8597,35.3472,scattered clouds,74.23,88,25,2.42,MZ
309,Teeli,51.0333,90.2333,broken clouds,-17.79,94,64,1.19,RU
310,Muroto,33.2833,134.15,light rain,44.92,68,100,7.38,JP
311,Mount Gambier,-37.8333,140.7667,broken clouds,64.06,51,79,11.83,AU
312,Burnie,-41.0667,145.9167,broken clouds,62.94,51,77,11.86,AU
313,Meiringen,46.7268,8.184,fog,42.06,99,20,2.3,CH
314,Lavrentiya,65.5833,-171.0,clear sky,2.82,63,1,22.62,RU
315,Ostrovnoy,68.0531,39.5131,light snow,20.43,90,100,15.08,RU
316,Nanortalik,60.1432,-45.2371,overcast clouds,13.33,61,100,9.84,GL
317,Matamoros,25.5333,-103.25,broken clouds,82.51,17,75,16.11,MX
318,San Jose De Guanipa,8.8872,-64.1651,broken clouds,81.14,54,74,14.32,VE
319,Garissa,-0.4536,39.6401,overcast clouds,77.65,74,100,8.88,KE
320,Saint George,37.1041,-113.5841,clear sky,40.62,21,0,1.99,US
321,Minab,27.1467,57.0801,clear sky,61.97,37,0,9.46,IR
322,Tigil,57.8,158.6667,overcast clouds,18.14,83,93,2.51,RU
323,Brae,60.3964,-1.353,overcast clouds,44.51,92,100,9.4,GB
324,Mehamn,71.0357,27.8492,light snow,24.08,74,100,10.51,NO
325,Naron,43.5167,-8.1528,overcast clouds,53.02,81,100,6.08,ES
326,Yeppoon,-23.1333,150.7333,overcast clouds,85.78,72,100,5.23,AU
327,Okato,-39.2,173.8833,overcast clouds,71.69,72,98,15.03,NZ
328,La Ronge,55.1001,-105.2842,clear sky,-21.87,98,9,3.78,CA
329,Vasai,19.47,72.8,overcast clouds,69.89,66,98,2.39,IN
330,Kuryk,43.2,51.65,overcast clouds,44.04,71,95,19.55,KZ
331,Vygonichi,53.0985,34.0673,light snow,24.91,86,98,8.95,RU
332,Rio Gallegos,-51.6226,-69.2181,scattered clouds,51.85,66,40,6.91,AR
333,Gilgit,35.9221,74.3087,light snow,31.48,93,100,2.37,PK
334,Cervo,43.6702,-7.4101,overcast clouds,50.97,79,100,5.32,ES
335,Tezu,27.9167,96.1667,overcast clouds,54.32,60,94,4.25,IN
336,Kenora,49.8167,-94.4337,overcast clouds,-11.22,75,100,5.99,CA
337,Margate,51.3813,1.3862,overcast clouds,47.3,89,100,3.0,GB
338,Bethel,41.3712,-73.414,overcast clouds,40.05,86,100,0.0,US
339,Cherskiy,68.75,161.3,broken clouds,-15.59,72,58,0.67,RU
340,Nizhniy Tsasuchey,50.5167,115.1333,few clouds,-12.33,90,21,6.06,RU
341,Airai,-8.9266,125.4092,overcast clouds,66.76,77,99,3.47,TL
342,Deputatskiy,69.3,139.9,scattered clouds,-25.69,94,47,5.61,RU
343,Matara,5.9485,80.5353,few clouds,71.22,88,12,6.26,LK
344,Waingapu,-9.6567,120.2641,scattered clouds,84.81,67,31,13.24,ID
345,Mazamari,-11.3258,-74.5308,overcast clouds,70.72,93,89,1.25,PE
346,Kamennomostskoye,43.7372,43.0514,overcast clouds,24.33,69,100,8.3,RU
